facility_name,facility_type_id,facility_type_name,county,street_address,city,state_code,zip_code,interior_sq_ft,territory_id
SAN ANTONIO - THOUSAND OAKS STATION,1,Post Office,BEXAR,15610 HENDERSON PASS,SAN ANTONIO,TX,78232,22992,
SAN ANTONIO - ALAMO HEIGHTS CAX/SERNA,1,Post Office,BEXAR,1948 AUSTIN HWY,SAN ANTONIO,TX,78218,40156,
SAN ANTONIO - ENCINO PARK STATION,1,Post Office,BEXAR,20403 ENCINO LEDGE,SAN ANTONIO,TX,78259,25172,
SAN ANTONIO - LAUREL HEIGHTS STA,1,Post Office,BEXAR,2400 MCCULLOUGH AVE,SAN ANTONIO,TX,78212,12915,
SAN ANTONIO - S TEXAS MED CEN STA,1,Post Office,BEXAR,4835 MEDICAL DR,SAN ANTONIO,TX,78229,10834,
SAN ANTONIO - J FRANK DOBIE STA,1,Post Office,BEXAR,4950 E HOUSTON ST,SAN ANTONIO,TX,78220,15555,
SAN ANTONIO - CEDAR ELM STATION,1,Post Office,BEXAR,5837 DE ZAVALA RD,SAN ANTONIO,TX,78249,23383,
SAN ANTONIO - LEON VALLEY STATION,1,Post Office,BEXAR,6825 HUEBNER RD,SAN ANTONIO,TX,78238,14103,
SAN ANTONIO - HERITAGE STATION,1,Post Office,BEXAR,702 RICHLAND HILLS DR,SAN ANTONIO,TX,78245,30128,
SAN ANTONIO - FRANK M TEJEDA STATION,1,Post Office,BEXAR,7411 BARLITE BLVD,SAN ANTONIO,TX,78224,33122,
SAN ANTONIO - NORTH BROADWAY STATIO,1,Post Office,BEXAR,9211 BROADWAY,SAN ANTONIO,TX,78217,9652,
SAN MARCOS - MAIN OFFICE,1,Post Office,HAYS,210 S STAGECOACH TRL,SAN MARCOS,TX,78666,9859,
SANTA FE - MAIN OFFICE,1,Post Office,GALVESTON,13002 HIGHWAY 6,SANTA FE,TX,77510,16702,
SANTA MARIA - MAIN OFFICE MODULAR BLDG,1,Post Office,CAMERON,11175 MILITARY RD,SANTA MARIA,TX,78592,1407,
SARATOGA - MAIN OFFICE,1,Post Office,HARDIN,17019 FM 770,SARATOGA,TX,77585,1856,
SARITA - MO/MODULAR BLDG,1,Post Office,KENEDY,103 N MALLORY ST,SARITA,TX,78385,1472,
SCHERTZ - MAIN OFFICE,1,Post Office,GUADALUPE,1081 ELBEL RD,SCHERTZ,TX,78154,7910,
SCHWERTNER - MPO/MODULAR BLDG,1,Post Office,WILLIAMSON,14775 FM 1105,SCHWERTNER,TX,76573,1476,
SEGUIN - MAIN OFFICE,1,Post Office,GUADALUPE,531 W COURT ST,SEGUIN,TX,78155,25000,
SEYMOUR - MAIN OFFICE,1,Post Office,BAYLOR,210 N WASHINGTON ST,SEYMOUR,TX,76380,8102,
SHAMROCK - MAIN OFFICE,1,Post Office,WHEELER,210 N MADDEN ST,SHAMROCK,TX,79079,6437,
SHERMAN - MAIN OFFICE,1,Post Office,GRAYSON,701 E PEYTON ST,SHERMAN,TX,75090,29890,
SLATON - MAIN OFFICE,1,Post Office,LUBBOCK,150 W LYNN ST,SLATON,TX,79364,4400,
SMITHVILLE - MAIN OFFICE,1,Post Office,BASTROP,400 MAIN ST,SMITHVILLE,TX,78957,4545,
SOUTHMAYD - MPO/MODULAR BLDG,1,Post Office,GRAYSON,102 CHRISTI LN,SOUTHMAYD,TX,76268,736,
SPADE - MPO/MODULAR BLDG,1,Post Office,LAMB,2756 FM 168,SPADE,TX,79369,598,
SPLENDORA - MAIN OFFICE,1,Post Office,MONTGOMERY,26130 FM 2090 RD E,SPLENDORA,TX,77372,5725,
SPRING BRANCH - MAIN OFFICE,1,Post Office,COMAL,132 BLAZING MEADOW RD,SPRING BRANCH,TX,78070,9782,
SPRING - PANTHER CREEK STATION,1,Post Office,HARRIS,10800 GOSLING RD,SPRING,TX,77381,34496,
SPRING - MAIN OFFICE,1,Post Office,HARRIS,1411 WUNSCHE LOOP,SPRING,TX,77373,23377,
SPRING - KLEIN STATION,1,Post Office,HARRIS,7717 LOUETTA RD,SPRING,TX,77379,28115,
SPRING - WOODLANDS METRO CTR B,1,Post Office,HARRIS,9450 PINECROFT DR,SPRING,TX,77380,17235,
STAFFORD - MAIN OFFICE,1,Post Office,FORT BEND,4110 BLUEBONNET DR,STAFFORD,TX,77477,12957,
STAMFORD - MAIN OFFICE,1,Post Office,JONES,115 S SWENSON ST,STAMFORD,TX,79553,7575,
STEPHENVILLE - MAIN OFFICE,1,Post Office,ERATH,431 N GRAHAM ST,STEPHENVILLE,TX,76401,16977,
STONEWALL - MPO/MODULAR BLDG,1,Post Office,GILLESPIE,14490 E US HIGHWAY 290,STONEWALL,TX,78671,736,
SUGAR LAND - MAIN OFFICE,1,Post Office,FORT BEND,225 MATLAGE WAY,SUGAR LAND,TX,77478,24437,
SUGAR LAND - FIRST COLONY STATION,1,Post Office,FORT BEND,3130 GRANTS LAKE BLVD,SUGAR LAND,TX,77479,33350,
SULPHUR SPRINGS - MAIN OFFICE,1,Post Office,HOPKINS,320 CHURCH ST,SULPHUR SPRINGS,TX,75482,16119,
SWEETWATER - MAIN OFFICE,1,Post Office,NOLAN,201 E 3RD ST,SWEETWATER,TX,79556,23001,
SYLVESTER - MPO/MODULAR BLDG,1,Post Office,FISHER,399 FM 57 S,SYLVESTER,TX,79560,736,
TALPA - MPO/MODULAR BLDG,1,Post Office,COLEMAN,110 2ND ST,TALPA,TX,76882,736,
TAYLOR - MAIN OFFICE,1,Post Office,WILLIAMSON,202 W 4TH ST,TAYLOR,TX,76574,12431,
TEAGUE - MAIN OFFICE,1,Post Office,FREESTONE,320 MAIN ST,TEAGUE,TX,75860,6618,
TEMPLE - MAIN OFFICE,1,Post Office,BELL,401 N MAIN ST,TEMPLE,TX,76501,22019,
TERRELL - MAIN OFFICE,1,Post Office,KAUFMAN,1250 STATE HIGHWAY 34 S,TERRELL,TX,75160,9799,
TEXARKANA - MAIN OFFICE; VMF,2,Vehicle Maintenance,BOWIE,2211 N ROBISON RD,TEXARKANA,TX,75501,41639,
TEXAS CITY - MAIN OFFICE,1,Post Office,GALVESTON,2002 11TH AVE N,TEXAS CITY,TX,77590,30000,
THOMPSONS - MPO/MODULAR BLDG,1,Post Office,FORT BEND,222 OILFIELD RD,THOMPSONS,TX,77481,736,
TOMBALL - MAIN OFFICE,1,Post Office,HARRIS,122 N HOLDERRIETH BLVD,TOMBALL,TX,77375,16968,
TRINIDAD - MAIN OFFICE,1,Post Office,HENDERSON,206 PARK ST,TRINIDAD,TX,75163,2320,
TRINITY - MAIN OFFICE,1,Post Office,TRINITY,116 W MAIN ST,TRINITY,TX,75862,7015,
TYLER - MAIN OFFICE/P&D; VMF,2,Vehicle Maintenance,SMITH,2100 W MARTIN LUTHER KING JR BLVD,TYLER,TX,75702,44327,
UVALDE - MAIN OFFICE,4,Network Facilities,UVALDE,103 S GETTY ST,UVALDE,TX,78801,11614,
VERNON - MAIN OFFICE,1,Post Office,WILBARGER,1701 TEXAS ST,VERNON,TX,76384,12717,
VICTORIA - JAMES MOODY STATION,1,Post Office,VICTORIA,2804 SAM HOUSTON DR,VICTORIA,TX,77904,23551,
VOCA - MPO/MODULAR BLDG,1,Post Office,MCCULLOCH,255 N FM 1851,VOCA,TX,76887,1472,
VOTAW - MPO/MODULAR BLDG,1,Post Office,HARDIN,21598 OLD HWY,VOTAW,TX,77376,736,
WACO - DOWNTOWN STATION,1,Post Office,MCLENNAN,424 CLAY AVE,WACO,TX,76706,20827,
WACO - HIGHLANDER STATION,1,Post Office,MCLENNAN,4428 N 19TH ST,WACO,TX,76708,24320,
WACO - BELLMEAD BRANCH,1,Post Office,MCLENNAN,901 BANK DR,WACO,TX,76705,16170,
WARING - MPO/MODULAR BLDG,1,Post Office,KENDALL,538 WARING WELFARE RD,WARING,TX,78074,736,
WAXAHACHIE - MAIN OFFICE,1,Post Office,ELLIS,316 N COLLEGE ST,WAXAHACHIE,TX,75165,9877,
WEATHERFORD - MAIN OFFICE,1,Post Office,PARKER,1145 SANTA FE DR,WEATHERFORD,TX,76086,22015,
WEBSTER - MAIN OFFICE,1,Post Office,HARRIS,17077 N TEXAS AVE,WEBSTER,TX,77598,9632,
WEIR - MPO/MODULAR BLDG.,1,Post Office,WILLIAMSON,200 FM 1105,WEIR,TX,78674,960,
WELLINGTON - MAIN OFFICE,1,Post Office,COLLINGSWORTH,1000 WEST AVE,WELLINGTON,TX,79095,8242,
WELLMAN - MPO/MODULAR BLDG,1,Post Office,TERRY,503 YOAKUM,WELLMAN,TX,79378,1472,
WESLACO - MAIN OFFICE,1,Post Office,HIDALGO,109 N BORDER AVE,WESLACO,TX,78596,10269,
WHARTON - MAIN OFFICE,1,Post Office,WHARTON,141 E MILAM ST,WHARTON,TX,77488,10354,
WHITHARRAL - MPO/MODULAR BLDG,1,Post Office,HOCKLEY,201 BADGER,WHITHARRAL,TX,79380,736,
WHITT - MPO/MODULAR BLDG,1,Post Office,PARKER,191 MAIN ST,WHITT,TX,76490,736,
WICHITA FALLS - MAIN OFFICE,1,Post Office,WICHITA,1000 LAMAR ST,WICHITA FALLS,TX,76301,102621,
WICHITA FALLS - VMF,2,Vehicle Maintenance,WICHITA,3107 5TH ST REAR,WICHITA FALLS,TX,76301,1600,
WICHITA FALLS - MORNINGSIDE CAR FAC,1,Post Office,WICHITA,3107 5TH ST,WICHITA FALLS,TX,76301,15529,
WICHITA FALLS - BRIDGE CREEK STATION,1,Post Office,WICHITA,4001 SOUTHWEST PKWY,WICHITA FALLS,TX,76308,19066,
WILLIS - MAIN OFFICE,1,Post Office,MONTGOMERY,609 N CAMPBELL ST,WILLIS,TX,77378,8184,
WIMBERLEY - MAIN OFFICE,1,Post Office,HAYS,111 JOE WIMBERLEY BLVD,WIMBERLEY,TX,78676,13512,
WINNSBORO - MAIN OFFICE,1,Post Office,WOOD,210 LOCUST ST,WINNSBORO,TX,75494,6508,
WOODLAWN - MAIN OFFICE MODULAR BLDG,1,Post Office,HARRISON,9620 US HIGHWAY 59 N,WOODLAWN,TX,75694,736,
WOODVILLE - MAIN OFFICE,1,Post Office,TYLER,307 W WHEAT ST,WOODVILLE,TX,75979,4440,
WYLIE - MAIN OFFICE,1,Post Office,COLLIN,940 W FM 544,WYLIE,TX,75098,19324,
YOAKUM - MAIN OFFICE,1,Post Office,LAVACA,112 NELSON ST,YOAKUM,TX,77995,12300,
YORKTOWN - MAIN OFFICE,1,Post Office,DE WITT,124 W MAIN ST,YORKTOWN,TX,78164,4104,
