Owned Facility Inventory Report,,,,,,,,,,,,
,,,,,,,,,,,,
Report Filter:,,,,,,,,,,,,
(Ownership = Owned) And ({Property Status} = Active) And (ST = TX) And ({Building Ownership Description} <> Building Data on another record,,,,,,,,,,,,
,,,,,,,,,,,,
District,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Ownership,FDB Facility Type (All),FDB Facility Subtype (All),Bldg Occu Date,Int Sq Ft
TEXAS 2,HARLINGEN,MAIN OFFICE,1502 NEW COMBES HWY,CAMERON,HARLINGEN,TX,78550-9998,Owned,Post Office,Main Post Office,1/1/1993,"31,706"
TEXAS 3,HASKELL,MAIN OFFICE,201 S 1ST ST,HASKELL,HASKELL,TX,79521-5940,Owned,Post Office,Main Post Office,2/1/1985,"5,389"
TEXAS 3,HEIDENHEIMER,MPO/MODULAR BLDG,5720 E US HIGHWAY 190,BELL,HEIDENHEIMER,TX,76533-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),7/1/1995,874
TEXAS 3,HELOTES,MAIN OFFICE,12790 FM 1560 N,BEXAR,Helotes,TX,78023-9998,Owned,Post Office,Main Post Office,6/1/1997,"6,297"
TEXAS 1,HENDERSON,MAIN OFFICE,505 S MAIN ST,RUSK,HENDERSON,TX,75654-9998,Owned,Post Office,Administrative Post Office (APO),10/1/1978,"13,229"
TEXAS 3,HEREFORD,MAIN OFFICE,408 MAIN ST,DEAF SMITH,HEREFORD,TX,79045-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1940,"14,420"
TEXAS 1,HEWITT ,MAIN OFFICE,901 S HEWITT DR,MCLENNAN,HEWITT,TX,76643-9998,Owned,Post Office,Main Post Office,6/10/1999,"8,317"
TEXAS 2,HIGH ISLAND,MAIN OFFICE,2008 S 5TH ST,GALVESTON,HIGH ISLAND,TX,77623-0135,Owned,Post Office,Remotely Managed Post Office (RMPO),7/1/1981,"1,034"
TEXAS 2,HIGHLANDS,MAIN OFFICE,608 S MAIN ST,HARRIS,HIGHLANDS,TX,77562-9998,Owned,Post Office,Main Post Office,3/1/1971,"5,400"
TEXAS 2,HILLISTER,MAIN OFFICE,283 FM 1013 RD,TYLER,HILLISTER,TX,77624-0001,Owned,Post Office,Remotely Managed Post Office (RMPO),4/1/1994,864
TEXAS 2,HITCHCOCK,MAIN OFFICE,8210 HIGHWAY 6,GALVESTON,HITCHCOCK,TX,77563-9998,Owned,Post Office,Main Post Office,9/1/1997,"5,281"
TEXAS 1,HONEY GROVE,MAIN OFFICE,100 E MAIN ST,FANNIN,HONEY GROVE,TX,75446-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1920,"4,577"
TEXAS 2,Houston,Debora Sue Schatz Sta,2909 ROGERDALE RD,HARRIS,HOUSTON,TX,77042-9998,Owned,Post Office,Station,9/1/1972,"28,730"
TEXAS 2,HOUSTON,ALBERT THOMAS STATION,14917 EL CAMINO REAL,HARRIS,HOUSTON,TX,77062-9998,Owned,Post Office,Station,11/1/1985,"19,305"
TEXAS 2,HOUSTON,ALMEDA STATION,3030 W FUQUA ST,HARRIS,HOUSTON,TX,77045-9998,Owned,Post Office,Station,4/1/1987,"26,062"
TEXAS 2,HOUSTON,ASHFORD WEST STATION,12655 WHITTINGTON DR,HARRIS,HOUSTON,TX,77077-9998,Owned,Post Office,Station,11/1/1985,"22,302"
TEXAS 2,HOUSTON,ASTRODOME STA EXP,8205 BRAESMAIN DR,HARRIS,HOUSTON,TX,77025-9998,Owned,Post Office,Station,11/1/1966,"8,920"
TEXAS 2,HOUSTON,BEAR CREEK STATION,16015 CAIRNWAY DR,HARRIS,HOUSTON,TX,77084-9998,Owned,Post Office,Station,9/1/1987,"21,966"
TEXAS 2,HOUSTON,BEARCREEK VMF,16015 CAIRNWAY DR,HARRIS,HOUSTON,TX,77084-9995,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),9/1/1987,"8,992"
TEXAS 2,HOUSTON,BEECHNUT STATION,11703 BEECHNUT ST,HARRIS,HOUSTON,TX,77072-9998,Owned,Post Office,Station,11/1/1981,"23,962"
TEXAS 2,HOUSTON,BROADWAY STATION,4020 BROADWAY ST,HARRIS,HOUSTON,TX,77087-4704,Owned,Post Office,Finance Station,9/1/1983,"7,548"
TEXAS 2,HOUSTON,CENTRAL VMF,2801 WASHINGTON AVE,HARRIS,HOUSTON,TX,77007-6025,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),2/1/1980,0
TEXAS 2,HOUSTON,COPPERFIELD CARRIER ANNEX,8825 HIGHWAY 6 N,HARRIS,HOUSTON,TX,77095-9998,Owned,Post Office,Carrier Annex (ANX),2/28/2005,"15,078"
TEXAS 2,HOUSTON,CORNERSTONE STATION,14403 WALTERS RD,HARRIS,HOUSTON,TX,77014-9998,Owned,Post Office,Station,6/1/1992,"26,914"
TEXAS 2,HOUSTON,DE MOSS STATION,6500 DE MOSS DR,HARRIS,HOUSTON,TX,77074-9998,Owned,Post Office,Station,2/1/1982,"32,010"
TEXAS 2,HOUSTON,DENVER HARBOR STN,5901 MARKET ST,HARRIS,HOUSTON,TX,77020-9998,Owned,Post Office,Station,7/1/1972,"9,243"
TEXAS 2,HOUSTON,EASTWOOD STATION,5415 LAWNDALE ST,HARRIS,HOUSTON,TX,77023-9998,Owned,Post Office,Station,10/1/1985,"20,374"
TEXAS 2,HOUSTON,FAIRBANKS STATION,7050 BROOKHOLLOW WEST DR,HARRIS,HOUSTON,TX,77040-9998,Owned,Post Office,Station,7/1/1995,"30,851"
TEXAS 2,HOUSTON,FLEETWOOD STATION,315 ADDICKS HOWELL RD,HARRIS,HOUSTON,TX,77079-9998,Owned,Post Office,Station,4/1/1998,"28,760"
TEXAS 2,HOUSTON,GENOA STATION,10935 ALMEDA GENOA RD,HARRIS,HOUSTON,TX,77034-9998,Owned,Post Office,Finance Station,3/1/1969,"7,648"
TEXAS 2,HOUSTON,GRANVILLE W ELDER STA,550 MAXEY RD,HARRIS,HOUSTON,TX,77013-9998,Owned,Post Office,Station,1/1/1979,"19,738"
TEXAS 2,HOUSTON,GREENBRIAR STATION,3740 GREENBRIAR DR,HARRIS,HOUSTON,TX,77098-9998,Owned,Post Office,Station,12/1/1986,"13,271"
TEXAS 2,HOUSTON,GREENS NORTH STATION,1530 GREENSMARK DR,HARRIS,HOUSTON,TX,77067-9998,Owned,Post Office,Station,11/1/1985,"28,206"
TEXAS 2,HOUSTON,GREENS NORTH VMF,1530 GREENSMARK DR BLDG A,HARRIS,HOUSTON,TX,77067-9995,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),2/1/1986,0
TEXAS 2,HOUSTON,JAMES S GRIFFITH STA,9320 EMNORA LN,HARRIS,HOUSTON,TX,77080-9998,Owned,Post Office,Station,5/1/1984,"33,774"
TEXAS 2,HOUSTON,JOHN DUNLOP STATION,8728 BEVERLYHILL ST,HARRIS,HOUSTON,TX,77063-9998,Owned,Post Office,Station,1/1/1987,"21,135"
TEXAS 2,HOUSTON,JULIUS MELCHER STA,2802 TIMMONS LN,HARRIS,HOUSTON,TX,77027-9998,Owned,Post Office,Station,10/1/1971,"14,258"
TEXAS 2,HOUSTON,LONG POINT STATION,8000 LONG POINT RD,HARRIS,HOUSTON,TX,77055-9998,Owned,Post Office,Station,10/1/2000,"21,811"
TEXAS 2,HOUSTON,MAIN OFFICE,1500 HADLEY ST,HOUSTON,HOUSTON,TX,77002-9998,Owned,Post Office,Carrier Annex (ANX),5/1/1998,"25,206"
TEXAS 2,HOUSTON,MARTIN LUTHER KING ST,9444 CULLEN BLVD,HARRIS,HOUSTON,TX,77051-9998,Owned,Post Office,Station,8/1/1986,"17,350"
TEXAS 2,HOUSTON,MEDICAL CENTER STA,7205 ALMEDA RD,HARRIS,HOUSTON,TX,77054-9998,Owned,Post Office,Station,8/1/1985,"12,945"
TEXAS 2,HOUSTON,MEMORIAL PARK STA,10505 TOWN AND COUNTRY WAY,HARRIS,HOUSTON,TX,77024-9998,Owned,Post Office,Station,10/1/1978,"26,397"
TEXAS 2,HOUSTON,N HOUSTON TX RPDC,4600 ALDINE BENDER RD,HARRIS,NORTH HOUSTON,TX,77315-9900,Owned,Post Office,Main Post Office,10/1/1990,"842,119"
TEXAS 2,HOUSTON,N HOUSTON TX RPDC,4600 ALDINE BENDER RD,HARRIS,NORTH HOUSTON,TX,77315-9900,Owned,Administrative Office,Postal Inspection Service Field Division (USPIS),10/1/1990,"842,119"
TEXAS 2,HOUSTON,N HOUSTON TX RPDC,4600 ALDINE BENDER RD,HARRIS,NORTH HOUSTON,TX,77315-9900,Owned,Network Facilities,Regional Processing and Distribution Center (RPDC),10/1/1990,"842,119"
TEXAS 2,HOUSTON,N HOUSTON TX RPDC,4600 ALDINE BENDER RD,HARRIS,NORTH HOUSTON,TX,77315-9900,Owned,Administrative Office,District Administrative Office (DM),10/1/1990,"842,119"
TEXAS 2,HOUSTON,N HOUSTON TX RPDC,4600 ALDINE BENDER RD,HARRIS,NORTH HOUSTON,TX,77315-9900,Owned,Administrative Office,Office of the Inspector General Office (OIG),10/1/1990,"842,119"
TEXAS 2,HOUSTON,N HOUSTON TX RPDC,4600 ALDINE BENDER RD,HARRIS,NORTH HOUSTON,TX,77315-9900,Owned,Network Facilities,Logistics (LOG),10/1/1990,"842,119"
TEXAS 2,HOUSTON,N HOUSTON TX RPDC,4600 ALDINE BENDER RD,HARRIS,NORTH HOUSTON,TX,77315-9900,Owned,Mail Processing,Local Processing Center (LPC_NO),10/1/1990,"842,119"
TEXAS 2,HOUSTON,N SHEPHERD STATION,7511 N SHEPHERD DR,HARRIS,HOUSTON,TX,77088-9998,Owned,Post Office,Station,8/1/1972,"36,464"
TEXAS 2,HOUSTON,OAK FOREST STATION,2499 JUDIWAY ST,HARRIS,HOUSTON,TX,77018-9998,Owned,Post Office,Station,8/1/1984,"22,449"
TEXAS 2,HOUSTON,PARK PLACE STATION,5302 GALVESTON RD,HARRIS,HOUSTON,TX,77017-9998,Owned,Post Office,Station,2/1/1976,"19,627"
TEXAS 2,HOUSTON,PARK PLACE VMF,5302 GALVESTON RD,HARRIS,HOUSTON,TX,77017-9995,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),8/1/1977,"12,123"
TEXAS 2,HOUSTON,RICH HILL STATION,2950 UNITY DR,HARRIS,HOUSTON,TX,77057-9998,Owned,Post Office,Station,11/1/1986,"22,584"
TEXAS 2,HOUSTON,RIVER OAKS STATION,1900 W GRAY ST,HARRIS,HOUSTON,TX,77019-9998,Owned,Post Office,Station,10/1/1987,"14,870"
TEXAS 2,HOUSTON,ROY ROYALL STATION,4206 LITTLE YORK RD,HARRIS,HOUSTON,TX,77016-9998,Owned,Post Office,Station,10/1/1975,"17,389"
TEXAS 2,HOUSTON,SOUTHMORE STATION,4110 ALMEDA RD,HARRIS,HOUSTON,TX,77004-9998,Owned,Post Office,Station,6/22/2001,"16,571"
TEXAS 2,HOUSTON,T W HOUSE,1300 W 19TH ST,HARRIS,HOUSTON,TX,77008-9998,Owned,Post Office,Station,4/1/1981,"31,287"
TEXAS 2,HOUSTON,UNIVERSITY STATION,1319 RICHMOND AVE,HARRIS,HOUSTON,TX,77006-9998,Owned,Post Office,Station,1/1/2000,"18,966"
TEXAS 2,HOUSTON,WESTBRAE STATION,10910 S GESSNER RD,HARRIS,HOUSTON,TX,77071-9998,Owned,Post Office,Station,7/1/1987,"19,486"
TEXAS 2,HOUSTON,WESTBURY PLACE STATION,11805 CHIMNEY ROCK RD,HARRIS,HOUSTON,TX,77035-9998,Owned,Post Office,Station,1/1/2001,"22,009"
TEXAS 2,HOUSTON,WESTFIELD STATION,17119 RED OAK DR,HARRIS,HOUSTON,TX,77090-9998,Owned,Post Office,Station,10/1/1978,"11,502"
TEXAS 2,HOUSTON,WILLIAM RICE,5201 WAKEFOREST ST,HARRIS,HOUSTON,TX,77005-9998,Owned,Post Office,Carrier Annex (ANX),6/1/1987,"84,000"
TEXAS 2,HOUSTON,WILLIAM RICE,5201 WAKEFOREST ST,HARRIS,HOUSTON,TX,77005-9998,Owned,Other Customer Service,Computerized Forwarding System (CFS),6/1/1987,"84,000"
TEXAS 2,HOUSTON,WILLOW PLACE BRANCH,12955 WILLOW PLACE DR W,HARRIS,HOUSTON,TX,77070-9998,Owned,Post Office,Station,1/1/1985,"21,596"
TEXAS 2,HOUSTON,WINDMILL STATION,9898 ALMEDA GENOA RD,HARRIS,HOUSTON,TX,77075-9998,Owned,Post Office,Station,7/1/1987,"26,209"
TEXAS 1,HOWE,MAIN OFFICE,101 W HANING ST,GRAYSON,HOWE,TX,75459-9998,Owned,Post Office,Main Post Office,1/1/1979,"2,784"
TEXAS 2,HUFFMAN,MAIN OFFICE,24936 FM 2100 RD,HARRIS,HUFFMAN,TX,77336-9998,Owned,Post Office,Main Post Office,10/1/1987,"9,870"
TEXAS 2,HUMBLE,KINGWOOD BRANCH,4025 FEATHER LAKES WAY,HARRIS,KINGWOOD,TX,77339-9998,Owned,Post Office,Branch,3/1/2000,"29,709"
TEXAS 2,HUMBLE,MAIN OFFICE,1202 1ST ST E,HARRIS,HUMBLE,TX,77338-5930,Owned,Post Office,Main Post Office,5/1/1981,"29,189"
TEXAS 2,HUNTSVILLE,MAIN OFFICE,3190 HIGHWAY 30 W,WALKER,HUNTSVILLE,TX,77340-9998,Owned,Post Office,Main Post Office,11/1/2000,"21,701"
TEXAS 2,HUNTSVILLE,RETAIL / FINANCE UNIT,1315 10TH ST,WALKER,HUNTSVILLE,TX,77320-9998,Owned,Post Office,Finance Station,1/1/1975,"13,125"
TEXAS 1,HURST,NORTH STATION,777 CANNON DR,TARRANT,HURST,TX,76054-3174,Owned,Post Office,Station,3/1/2001,"10,292"
TEXAS 3,INGRAM,MAIN OFFICE,3190 JUNCTION HWY,KERR,INGRAM,TX,78025-9998,Owned,Post Office,Administrative Post Office (APO),7/1/1978,"2,781"
TEXAS 3,INGRAM,MAIN OFFICE,3190 JUNCTION HWY,KERR,INGRAM,TX,78025-9998,Owned,Post Office,Carrier Section (SEC),7/1/1978,"2,781"
TEXAS 1,IRVING,CENTRAL STATION,2300 STORY RD W,DALLAS,IRVING,TX,75038-9998,Owned,Post Office,Station,1/1/1987,"18,602"
TEXAS 1,IRVING,LAS COLINAS FINANCE STA,3900 TELEPORT BLVD,DALLAS,IRVING,TX,75039-9998,Owned,Post Office,Finance Station,3/1/1984,"4,515"
TEXAS 1,IRVING,VALLEY RANCH,8501 N MACARTHUR BLVD,DALLAS,IRVING,TX,75063-9998,Owned,Post Office,Station,2/1/2002,"22,349"
TEXAS 1,JACKSONVILLE,MAIN OFFICE,400 W RUSK ST,CHEROKEE,JACKSONVILLE,TX,75766-9998,Owned,Post Office,Administrative Post Office (APO),2/1/2000,"23,036"
TEXAS 3,JARRELL,MAIN POST OFFICE,12355 N INTERSTATE 35,WILLIAMSON,JARRELL,TX,76537-9998,Owned,Post Office,Administrative Post Office (APO),3/1/2000,"2,955"
TEXAS 1,JASPER,MAIN OFFICE,215 N BOWIE ST,JASPER,JASPER,TX,75951-9998,Owned,Post Office,Main Post Office,3/1/1988,"17,784"
TEXAS 3,JOHNSON CITY,MAIN OFFICE,201 S AVENUE G,BLANCO,JOHNSON CITY,TX,78636-9998,Owned,Post Office,Administrative Post Office (APO),2/1/1982,"5,518"
TEXAS 1,JOSHUA,MAIN OFFICE,306 N BROADWAY ST,JOHNSON,JOSHUA,TX,76058-3075,Owned,Post Office,Main Post Office,8/1/1999,"6,479"
TEXAS 2,KATY,CARRIER ANNEX,1331 PIN OAK RD,HARRIS,KATY,TX,77494-9998,Owned,Post Office,Carrier Annex (ANX),,"16,132"
TEXAS 2,KATY,PARK ROW BRANCH,20180 PARK ROW DR,HARRIS,KATY,TX,77449-9998,Owned,Post Office,Main Post Office,11/1/1985,"24,169"
TEXAS 1,KAUFMAN,MAIN OFFICE,2231 S WASHINGTON ST,KAUFMAN,KAUFMAN,TX,75142-9998,Owned,Post Office,Main Post Office,2/1/2001,"10,421"
TEXAS 1,KELLER,MAIN OFFICE,520 E VINE ST,TARRANT,KELLER,TX,76248-2300,Owned,Post Office,Main Post Office,4/1/1988,"25,746"
TEXAS 3,KENEDY,MAIN OFFICE,223 S 2ND ST,KARNES,KENEDY,TX,78119-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1937,"6,587"
TEXAS 3,KERRVILLE,MAIN OFFICE,244 CULLY DR,KERR,KERRVILLE,TX,78028-5950,Owned,Post Office,Main Post Office,11/1/1999,"26,860"
TEXAS 1,KILDARE,MPO/MODULAR BLDG,1315 COUNTY ROAD 1894,CASS,KILDARE,TX,75562-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),6/1/1998,736
TEXAS 1,KILGORE,MAIN OFFICE,500 N KILGORE ST,GREGG,KILGORE,TX,75662-9998,Owned,Post Office,Administrative Post Office (APO),12/1/1998,"18,816"
TEXAS 3,KILLEEN,COPPER MOUNTAIN STA,3100 S W S YOUNG DR,BELL,KILLEEN,TX,76542-9998,Owned,Post Office,Station,11/1/1987,"18,377"
TEXAS 3,KILLEEN,MAIN OFFICE,300 N 10TH ST,BELL,KILLEEN,TX,76541-9998,Owned,Post Office,Main Post Office,7/1/1968,"21,093"
TEXAS 3,KINGSBURY,MO/MODULAR BLDG,10055 E HIGHWAY 90,GUADALUPE,KINGSBURY,TX,78638-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),9/1/1995,874
TEXAS 2,KINGSVILLE,MAIN OFFICE,103 E KLEBERG AVE,KLEBERG,KINGSVILLE,TX,78363-4502,Owned,Post Office,Administrative Post Office (APO),6/1/1936,"19,037"
TEXAS 2,KINGSVILLE,MAIN OFFICE,103 E KLEBERG AVE,KLEBERG,KINGSVILLE,TX,78363-4502,Owned,Post Office,Detached Box Unit,6/1/1936,"19,037"
TEXAS 3,KNOTT,MPO/MODULAR BLDG,5900 W FM 846,HOWARD,KNOTT,TX,79748-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),11/1/1996,736
TEXAS 3,LA GRANGE,MAIN OFFICE,113 E COLORADO ST,FAYETTE,LA GRANGE,TX,78945-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1937,"8,934"
TEXAS 2,LA MARQUE,MAIN OFFICE,509 LAUREL ST,GALVESTON,LA MARQUE,TX,77568-9998,Owned,Post Office,Main Post Office,7/1/1969,"8,116"
TEXAS 2,LA PORTE,MAIN OFFICE,801 W FAIRMONT PKWY,HARRIS,LA PORTE,TX,77571-9998,Owned,Post Office,Main Post Office,4/1/1988,"23,671"
TEXAS 2,LAKE JACKSON,MAIN OFFICE,210 OAK DR S,BRAZORIA,LAKE JACKSON,TX,77566-9998,Owned,Post Office,Main Post Office,2/1/2000,"18,627"
TEXAS 3,LAMESA,MAIN OFFICE,202 N AVENUE G,DAWSON,LAMESA,TX,79331-9998,Owned,Post Office,Administrative Post Office (APO),11/1/1969,"11,867"
TEXAS 3,LAREDO,DEL MAR STATION,2395 E DEL MAR BLVD,WEBB,LAREDO,TX,78045-9998,Owned,Post Office,Station,2/1/2001,"24,181"
TEXAS 3,LAREDO,MAIN OFFICE,2700 E SAUNDERS ST,WEBB,LAREDO,TX,78041-9998,Owned,Post Office,Main Post Office,9/1/1976,"38,442"
TEXAS 3,LAREDO,VMF,2700 E SAUNDERS ST,WEBB,LAREDO,TX,78041-9998,Owned,,,9/1/1976,"2,107"
TEXAS 2,LASALLE,MO/MODULAR BLDG,1999 FM 616,JACKSON,LA SALLE,TX,77969-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),5/1/1996,736
TEXAS 2,LASARA,MO/MODULAR BLDG,12056 FM 1015,WILLACY,LASARA,TX,78561-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),1/1/1996,736
TEXAS 2,LEAGUE CITY,MAIN OFFICE,240 W GALVESTON ST,GALVESTON,LEAGUE CITY,TX,77573-9998,Owned,Post Office,Main Post Office,2/1/1989,"20,545"
TEXAS 3,LEANDER,MAIN OFFICE,801 S HIGHWAY 183,WILLIAMSON,LEANDER,TX,78641-9998,Owned,Post Office,Main Post Office,7/1/1988,"15,088"
TEXAS 3,LEDBETTER,MPO/MODULAR BLDG.,104 CHAPPEL ST,FAYETTE,LEDBETTER,TX,78946-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),,932
TEXAS 3,LEESVILLE,MO/MODULAR BLDG,9606 N STATE HIGHWAY 80,GONZALES,LEESVILLE,TX,78122-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),2/1/1996,796
TEXAS 1,LEONA,MO/MODULAR BLDG,143 N LEONA BLVD,LEON,LEONA,TX,75850-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),3/1/1999,700
TEXAS 3,LEVELLAND,MAIN OFFICE,712 AVENUE G,HOCKLEY,LEVELLAND,TX,79336-4515,Owned,Post Office,Administrative Post Office (APO),12/1/1961,"7,111"
TEXAS 1,LEWISVILLE,FLOWER MOUND BRANCH,2300 OLYMPIA DR,DENTON,FLOWER MOUND,TX,75028-9998,Owned,Post Office,Branch,7/1/1996,"39,768"
TEXAS 1,LEWISVILLE,MAIN OFFICE,194 CIVIC CIR,DENTON,LEWISVILLE,TX,75067-9998,Owned,Post Office,Main Post Office,2/1/1987,"31,993"
TEXAS 1,LEWISVILLE,THE COLONY BRANCH,5200 S COLONY BLVD,DENTON,THE COLONY,TX,75056-9998,Owned,Post Office,Finance Branch,4/1/1986,"8,453"
TEXAS 2,LIBERTY,MAIN OFFICE,1515 SAM HOUSTON ST,LIBERTY,LIBERTY,TX,77575-9998,Owned,Post Office,Administrative Post Office (APO),4/1/1987,"14,386"
TEXAS 1,LINDEN,MAIN OFFICE,200 E RUSH ST,CASS,LINDEN,TX,75563-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1938,"5,788"
TEXAS 2,LISSIE,MPO/MODULAR BLDG,213 RAYMOND AVE,WHARTON,LISSIE,TX,77454-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),7/1/1998,736
TEXAS 1,LITTLE ELM,MAIN OFFICE,1012 W ELDORADO PKWY,DENTON,LITTLE ELM,TX,75068-9998,Owned,Post Office,Main Post Office,,"6,474"
TEXAS 2,LIVERPOOL,MAIN OFFICE,2320 MAIN ST,BRAZORIA,LIVERPOOL,TX,77577-8744,Owned,Post Office,Remotely Managed Post Office (RMPO),7/1/1979,"1,400"
TEXAS 2,LIVINGSTON,MAIN OFFICE,1325 W CHURCH ST,POLK,LIVINGSTON,TX,77351-9998,Owned,Post Office,Administrative Post Office (APO),5/1/1976,"13,088"
TEXAS 3,LOCKHART,MAIN OFFICE,217 W MARKET ST,CALDWELL,LOCKHART,TX,78644-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1936,"6,343"
TEXAS 1,LODI,MO/MODULAR BLDG,6819 FM 248 S,MARION,LODI,TX,75564-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),1/1/1996,736
TEXAS 3,LOMETA,MAIN OFFICE,116 E ELM ST,LAMPASAS,LOMETA,TX,76853-9997,Owned,Post Office,Main Post Office,9/1/1962,"1,755"
TEXAS 1,LONGVIEW,DOWNTOWN STATION,201 E METHVIN ST,GREGG,LONGVIEW,TX,75601-9998,Owned,Post Office,Finance Station,6/1/1940,"23,495"
TEXAS 1,LONGVIEW,MAIN OFFICE,2336 S MOBBERLY AVE,GREGG,LONGVIEW,TX,75602-9998,Owned,Post Office,Main Post Office,8/1/1968,"36,166"
TEXAS 1,LONGVIEW,NORTHWEST STATION,4501 MCCANN RD,GREGG,LONGVIEW,TX,75605-9998,Owned,Post Office,Station,11/1/1988,"30,548"
TEXAS 2,LOPENO,MPO/MODULAR BLDG,305 1ST ST,ZAPATA,LOPENO,TX,78564-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1995,736
TEXAS 3,LORENZO,MAIN OFFICE,225 HIGHWAY 62,CROSBY,LORENZO,TX,79343-2601,Owned,Post Office,Main Post Office,10/1/1998,"5,957"
TEXAS 2,LOZANO,MPO/MODULAR BLDG,25698 E BROWN TRACT RD,CAMERON,LOZANO,TX,78568-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),10/1/1995,736
TEXAS 3,LUBBOCK,DOWNTOWN STATION,411 AVENUE L,LUBBOCK,LUBBOCK,TX,79408-1899,Owned,Post Office,Station,8/1/1983,"22,238"
TEXAS 3,LUBBOCK,FREEDOM STATION,5001 AVENUE L,LUBBOCK,LUBBOCK,TX,79452-9998,Owned,Post Office,Station,7/1/1977,"11,830"
TEXAS 3,LUBBOCK,GEORGE W SINGER STA,4901 S LOOP 289,LUBBOCK,LUBBOCK,TX,79464-9998,Owned,Post Office,Station,4/1/1979,"9,808"
TEXAS 3,LUBBOCK,MAIN OFFICE/ P&DC,1515 CRICKETS AVE,LUBBOCK,LUBBOCK,TX,79402-9998,Owned,Post Office,Main Post Office,10/1/1967,"85,257"
TEXAS 3,LUBBOCK,MAIN OFFICE/ P&DC,1515 CRICKETS AVE,LUBBOCK,LUBBOCK,TX,79402-9998,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),10/1/1967,"85,257"
TEXAS 3,LUBBOCK,MAIN OFFICE/ P&DC,1515 CRICKETS AVE,LUBBOCK,LUBBOCK,TX,79402-9998,Owned,Mail Processing,Mail Processing Annex (ANX),10/1/1967,"85,257"
TEXAS 3,LUBBOCK,MAIN OFFICE/ P&DC,1515 CRICKETS AVE,LUBBOCK,LUBBOCK,TX,79402-9998,Owned,Network Facilities,Logistics (LOG),10/1/1967,"85,257"
TEXAS 3,LUBBOCK,MAIN OFFICE/ P&DC,1515 CRICKETS AVE,LUBBOCK,LUBBOCK,TX,79402-9998,Owned,Network Facilities,Logistics (LOG),10/1/1967,"85,257"
TEXAS 3,LUBBOCK,MONTEREY STATION,5014 GARY AVE,LUBBOCK,LUBBOCK,TX,79413-9998,Owned,Post Office,Station,10/1/1988,"17,571"
TEXAS 3,LUBBOCK,SUNSET STATION,2121 FRANKFORD AVE,LUBBOCK,LUBBOCK,TX,79490-9998,Owned,Post Office,Station,10/1/1971,"6,302"
TEXAS 3,LUBBOCK,VMF,1515 CRICKETS AVE,LUBBOCK,LUBBOCK,TX,79402-9341,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),10/1/1967,"6,528"
TEXAS 1,LUFKIN,MAIN OFFICE,800 S JOHN REDDITT DR,ANGELINA,LUFKIN,TX,75904-9998,Owned,Post Office,Administrative Post Office (APO),12/1/1988,"42,385"
TEXAS 1,LUFKIN,MAIN OFFICE,800 S JOHN REDDITT DR,ANGELINA,LUFKIN,TX,75904-9998,Owned,Post Office,Service Hub Facility (SHF),12/1/1988,"42,385"
TEXAS 3,LULING,MAIN OFFICE,517 E CROCKETT ST,CALDWELL,LULING,TX,78648-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1935,"6,183"
TEXAS 2,MAGNOLIA,MAIN OFFICE,815 GOODSON RD,MONTGOMERY,MAGNOLIA,TX,77355-9998,Owned,Post Office,Main Post Office,7/1/1986,"11,537"
TEXAS 1,MANSFIELD,MAIN OFFICE,752 N MAIN ST,TARRANT,MANSFIELD,TX,76063-3203,Owned,Post Office,Administrative Post Office (APO),9/1/1995,"29,161"
TEXAS 3,MARBLE FALLS,MAIN OFFICE,1212 N US HIGHWAY 281,BURNET,MARBLE FALLS,TX,78654-9998,Owned,Post Office,Main Post Office,8/1/1981,"6,396"
TEXAS 3,MARBLE FALLS,MAIN OFFICE,1212 N US HIGHWAY 281,BURNET,MARBLE FALLS,TX,78654-9998,Owned,Post Office,Branch,8/1/1981,"6,396"
TEXAS 1,MARLIN,MAIN OFFICE,207 COLEMAN ST,FALLS,MARLIN,TX,76661-9998,Owned,Post Office,Administrative Post Office (APO),10/1/1967,"7,848"
